"protocol","callerService","operation","targetService","endpoint","configKey","location"
"grpc","user","mail_send","mailer","/mailer/mail_send","","this.ma ...      })"
"grpc","gateway","token_decode","token","/token/token_decode","","this.to ...      })"
"grpc","gateway","user_get_by_id","user","/user/user_get_by_id","","this.us ... userId)"
"grpc","gateway","user_get_by_id","user","/user/user_get_by_id","","this.us ... nfo.id)"
"grpc","gateway","permission_check","permission","/permission/permission_check","","this.pe ...      })"
"grpc","gateway","task_search_by_user_id","task","/task/task_search_by_user_id","","this.ta ... nfo.id)"
"grpc","gateway","task_create","task","/task/task_create","","this.ta ...       )"
"grpc","gateway","task_delete_by_id","task","/task/task_delete_by_id","","this.ta ...      })"
"grpc","gateway","task_update_by_id","task","/task/task_update_by_id","","this.ta ...      })"
"grpc","gateway","user_create","user","/user/user_create","","this.us ... equest)"
"grpc","gateway","token_create","token","/token/token_create","","this.to ...      })"
"grpc","gateway","token_create","token","/token/token_create","","this.to ...      })"
"grpc","gateway","user_search_by_credentials","user","/user/user_search_by_credentials","","this.us ... equest)"
"grpc","gateway","token_destroy","token","/token/token_destroy","","this.to ...      })"
"grpc","gateway","user_confirm","user","/user/user_confirm","","this.us ...      })"
